Algorithm,Array Size,Input Type,Avg Time (seconds),Avg Comparisons,Avg Swaps
Bubble Sort,6000,Reversed,0.059341,17997000,17997000
Selection Sort,6000,Reversed,0.021997,17997000,5999
Insertion Sort,6000,Reversed,0.040037,18002999,17997000
Quick Sort,6000,Reversed,0.022420,18008998,5999
Merge Sort,6000,Reversed,0.000320,36656,75968
Bubble Sort,6000,Random,0.070255,17997000,8972099
Selection Sort,6000,Random,0.021498,17997000,5999
Insertion Sort,6000,Random,0.019818,9016045,9010046
Quick Sort,6000,Random,0.000394,91598,19545
Merge Sort,6000,Random,0.000597,68396,75968
Bubble Sort,8000,Sorted,0.040694,31996000,0
Selection Sort,8000,Sorted,0.037620,31996000,7999
Insertion Sort,8000,Sorted,0.000018,7999,0
Quick Sort,8000,Sorted,0.038310,32011998,7999
Merge Sort,8000,Sorted,0.000470,52416,103872
Bubble Sort,8000,Reversed,0.108677,31996000,31996000
Selection Sort,8000,Reversed,0.040036,31996000,7999
Insertion Sort,8000,Reversed,0.074980,32003999,31996000
Quick Sort,8000,Reversed,0.040817,32011998,7999
Merge Sort,8000,Reversed,0.000472,51456,103872
Bubble Sort,8000,Random,0.131630,31996000,15895938
Selection Sort,8000,Random,0.039048,31996000,7999
Insertion Sort,8000,Random,0.035935,15969100,15961101
Quick Sort,8000,Random,0.000555,124627,27390
Merge Sort,8000,Random,0.000859,93748,103872
Bubble Sort,10000,Sorted,0.071950,49995000,0
Selection Sort,10000,Sorted,0.062710,49995000,9999
Insertion Sort,10000,Sorted,0.000022,9999,0
Quick Sort,10000,Sorted,0.062827,50014998,9999
Merge Sort,10000,Sorted,0.000625,71712,136320
Bubble Sort,10000,Reversed,0.169849,49995000,49995000
Selection Sort,10000,Reversed,0.061746,49995000,9999
Insertion Sort,10000,Reversed,0.114252,50004999,49995000
Quick Sort,10000,Reversed,0.066287,50014998,9999
Merge Sort,10000,Reversed,0.000627,64608,136320
Bubble Sort,10000,Random,0.212719,49995000,24919225
Selection Sort,10000,Random,0.061523,49995000,9999
Insertion Sort,10000,Random,0.057148,24979340,24969341
Quick Sort,10000,Random,0.000677,154443,35645
Merge Sort,10000,Random,0.001073,123651,136320
Bubble Sort,20000,Sorted,0.258299,199990000,0
Selection Sort,20000,Sorted,0.238792,199990000,19999
Insertion Sort,20000,Sorted,0.000042,19999,0
Quick Sort,20000,Sorted,0.245953,200029998,19999
Merge Sort,20000,Sorted,0.001286,153424,292640
Bubble Sort,20000,Reversed,0.677499,199990000,199990000
Selection Sort,20000,Reversed,0.256134,199990000,19999
Insertion Sort,20000,Reversed,0.452510,200009999,199990000
Quick Sort,20000,Reversed,0.253175,200029998,19999
Merge Sort,20000,Reversed,0.001335,139216,292640
Bubble Sort,20000,Random,0.897053,199990000,100035778
Selection Sort,20000,Random,0.238409,199990000,19999
Insertion Sort,20000,Random,0.225980,99877989,99857990
Quick Sort,20000,Random,0.001472,337986,79398
Merge Sort,20000,Random,0.002598,267349,292640
Bubble Sort,40000,Sorted,1.068698,799980000,0
Selection Sort,40000,Sorted,0.998877,799980000,39999
Insertion Sort,40000,Sorted,0.000088,39999,0
Quick Sort,40000,Sorted,1.023999,800059998,39999
Merge Sort,40000,Sorted,0.002747,326848,625280
Bubble Sort,40000,Reversed,2.805890,799980000,799980000
